STN_NAME,DD,MONTH,YEAR,T,GGGG,DDD,FF,FMFM,VIS,WX_CODE,WEATHER,N,CL1,CL2,CL3,CL4,CL5,CL6,DB,DP,QFE,QFF,QNH,RRR
ADAMPUR,01,01,2024,1,0000,000,00,,0200,45,FOG,9,,,,,,, 08.4, 07.9,990.0,1019.8,1019.5,
ADAMPUR,01,01,2024,1,0100,000,00,,0200,45,FOG,9,,,,,,, 08.8, 08.4,989.5,1019.2,1019.0,
ADAMPUR,01,01,2024,1,0200,999,01,,0200,45,FOG,9,,,,,,, 09.0, 08.6,989.4,1019.1,1018.9,
ADAMPUR,01,01,2024,4,0230,000,00,,0200,45,FOG,9,,,,,,, 09.0, 08.6,989.4,1019.1,1018.9, 000.0
ADAMPUR,01,01,2024,1,0300,999,01,,0200,44,FOG,9,,,,,,, 08.8, 08.4,989.0,1018.7,1018.4,
ADAMPUR,01,01,2024,1,0400,999,02,,0200,44,FOG,9,,,,,,, 08.8, 08.4,989.0,1018.4,1018.7,
ADAMPUR,01,01,2024,1,0500,999,02,,0200,44,FOG,9,,,,,,, 08.6, 08.2,989.1,1018.8,1018.6,
ADAMPUR,01,01,2024,4,0530,999,02,,0200,44,FOG,9,,,,,,, 08.6, 08.2,989.3,1019.0,1018.7, 000.0
ADAMPUR,01,01,2024,1,0600,999,02,,0200,44,FOG,9,,,,,,, 08.5, 08.3,989.4,1018.8,1019.1,
ADAMPUR,01,01,2024,1,0630,999,02,,0400,42,FOG,9,,,,,,, 08.4, 08.0,989.7,1019.3,1019.0,
ADAMPUR,01,01,2024,1,0700,999,01,,0400,44,FOG,9,,,,,,, 08.4, 08.0,990.2,1019.9,1019.6,
ADAMPUR,01,01,2024,1,0730,999,01,,0300,46,FOG,9,,,,,,, 08.2, 07.8,990.5,1020.4,1020.0,
ADAMPUR,01,01,2024,1,0800,999,01,,0300,44,FOG,9,,,,,,, 08.8, 08.4,990.9,1020.7,1020.5,
ADAMPUR,01,01,2024,4,0830,999,01,,0600,43,FOG,9,,,,,,, 09.0, 09.0,990.1,1019.8,1019.6, 000.0
ADAMPUR,01,01,2024,1,0900,999,01,,0600,45,FOG,9,,,,,,, 09.2, 08.8,990.3,1020.0,1019.8,
ADAMPUR,01,01,2024,1,0930,999,01,,0600,45,FOG,9,,,,,,, 09.2, 08.8,990.8,1020.5,1020.3,
ADAMPUR,01,01,2024,1,1000,999,01,,0600,45,FOG,9,,,,,,, 09.4, 09.0,990.8,1020.3,1020.5,
ADAMPUR,01,01,2024,1,1030,999,01,,0800,43,FOG,9,,,,,,, 09.8, 09.4,991.2,1020.8,1020.7,
ADAMPUR,01,01,2024,1,1100,999,01,,0800,45,FOG,9,,,,,,, 10.0, 09.6,991.2,1020.8,1020.7,
ADAMPUR,01,01,2024,4,1130,999,02,,0800,45,FOG,9,,,,,,, 10.0, 09.2,990.9,1020.6,1020.5, 000.0
ADAMPUR,01,01,2024,1,1200,999,01,,1000,10,MIST,9,,,,,,, 10.0, 09.2,990.8,1020.5,1020.4,
ADAMPUR,01,01,2024,1,1230,999,01,,1500,10,MIST,9,,,,,,, 10.2, 09.4,990.3,1019.9,1019.8,
ADAMPUR,01,01,2024,1,1300,999,01,,1500,10,MIST,9,,,,,,, 10.2, 09.4,989.9,1019.5,1019.3,
ADAMPUR,01,01,2024,1,1330,999,01,,1500,10,MIST,9,,,,,,, 10.4, 09.2,989.4,1018.9,1018.8,
ADAMPUR,01,01,2024,1,1400,999,01,,1500,10,MIST,9,,,,,,, 10.4, 09.2,989.1,1018.6,1018.5,
ADAMPUR,01,01,2024,4,1430,999,01,,1500,10,MIST,9,,,,,,, 10.4, 09.2,989.0,1018.5,1018.4, 000.0
ADAMPUR,01,01,2024,1,1500,999,01,,1500,10,MIST,9,,,,,,, 11.0, 09.0,988.9,1018.4,1018.3,
ADAMPUR,01,01,2024,1,1530,999,01,,1500,10,MIST,9,,,,,,, 11.0, 09.0,988.9,1018.4,1018.3,
ADAMPUR,01,01,2024,1,1600,999,01,,1200,10,MIST,9,,,,,,, 11.2, 09.2,988.8,1018.3,1018.2,
ADAMPUR,01,01,2024,2,1610,999,01,,1500,10,MIST,9,,,,,,, 11.2, 09.2,988.8,1018.3,1018.2,
ADAMPUR,01,01,2024,1,1630,999,01,,1200,10,MIST,9,,,,,,, 10.4, 09.2,988.9,1018.4,1018.3,
ADAMPUR,01,01,2024,1,1700,999,01,,1200,10,MIST,9,,,,,,, 10.2, 09.0,988.0,1018.2,1018.2,
ADAMPUR,01,01,2024,4,1730,000,00,,1000,10,MIST,9,,,,,,, 10.0, 09.2,988.2,1017.8,1017.6, 000.0
ADAMPUR,01,01,2024,1,1800,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 10.0, 09.2,988.1,1017.7,1017.5,
ADAMPUR,01,01,2024,1,1830,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.8, 09.0,988.0,1017.6,1017.4,
ADAMPUR,01,01,2024,1,1900,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.8, 09.0,988.4,1018.0,1017.8,
ADAMPUR,01,01,2024,1,1930,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.6, 09.2,988.5,1018.1,1017.9,
ADAMPUR,01,01,2024,1,2000,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.6, 09.2,989.0,1018.6,1018.4,
ADAMPUR,01,01,2024,4,2030,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.6, 09.2,989.4,1019.0,1018.8, 000.0
ADAMPUR,01,01,2024,1,2100,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.4, 09.0,989.7,1019.3,1019.1,
ADAMPUR,01,01,2024,1,2200,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.4, 09.0,989.7,1019.4,1019.2,
ADAMPUR,01,01,2024,1,2300,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.2, 08.8,989.5,1019.2,1019.0,
ADAMPUR,01,01,2024,4,2330,999,01,,0800,11,SHALLOW FOG,9,,,,,,, 09.2, 08.8,989.4,1019.0,1018.9, 000.0
ADAMPUR,02,01,2024,1,0000,000,00,,0800,11,SHALLOW FOG,9,,,,,,, 09.0, 08.6,989.5,1019.2,1018.9,
ADAMPUR,02,01,2024,1,0100,999,01,,0600,11,SHALLOW FOG,9,,,,,,, 08.8, 08.4,989.3,1018.7,1019.0,
ADAMPUR,02,01,2024,1,0200,000,00,,0600,11,SHALLOW FOG,9,,,,,,, 08.6, 08.2,989.0,1018.7,1018.4,
ADAMPUR,02,01,2024,4,0230,000,00,,0600,11,SHALLOW FOG,9,,,,,,, 08.6, 08.2,989.0,1018.7,1018.4, 000.0
ADAMPUR,02,01,2024,1,0300,999,01,,0600,11,SHALLOW FOG,9,,,,,,, 08.4, 07.9,988.7,1018.4,1018.1,
ADAMPUR,02,01,2024,1,0400,999,01,,0500,11,SHALLOW FOG,9,,,,,,, 08.4, 07.9,988.4,1018.1,1017.8,
ADAMPUR,02,01,2024,1,0500,999,01,,0500,11,SHALLOW FOG,9,,,,,,, 08.2, 07.7,988.2,1017.9,1017.6,
ADAMPUR,02,01,2024,4,0530,999,02,,0500,11,SHALLOW FOG,9,,,,,,, 08.2, 07.7,988.3,1018.0,1017.7, 000.0
ADAMPUR,02,01,2024,1,0600,320,03,,0500,11,SHALLOW FOG,9,,,,,,, 08.2, 07.7,988.5,1018.2,1017.9,
ADAMPUR,02,01,2024,1,0630,320,03,,0500,11,SHALLOW FOG,9,,,,,,, 08.4, 07.9,988.8,1018.5,1018.2,
ADAMPUR,02,01,2024,1,0700,340,03,,0500,11,SHALLOW FOG,9,,,,,,, 08.4, 07.9,989.0,1018.7,1018.4,
ADAMPUR,02,01,2024,1,0730,340,04,,0600,11,SHALLOW FOG,9,,,,,,, 08.4, 07.9,989.3,1019.1,1018.7,
ADAMPUR,02,01,2024,1,0800,350,05,,1000,10,MIST,9,,,,,,, 08.6, 08.2,989.4,1019.1,1018.8,
ADAMPUR,02,01,2024,4,0830,340,03,,1200,10,MIST,9,,,,,,, 08.6, 08.2,989.7,1019.4,1019.1, 000.0
ADAMPUR,02,01,2024,1,0900,999,02,,1200,10,MIST,9,,,,,,, 08.6, 08.2,989.8,1019.5,1019.2,
ADAMPUR,02,01,2024,1,0930,999,02,,1500,10,MIST,9,,,,,,, 08.8, 08.4,989.8,1019.2,1019.6,
ADAMPUR,02,01,2024,1,1000,999,02,,1800,10,MIST,9,,,,,,, 09.0, 08.1,990.7,1020.2,1020.5,
ADAMPUR,02,01,2024,1,1030,999,02,,2000,10,MIST,9,,,,,,, 09.0, 08.1,991.1,1020.9,1020.6,
ADAMPUR,02,01,2024,1,1100,999,02,,2000,10,MIST,9,,,,,,, 09.4, 08.1,991.1,1020.9,1020.7,
ADAMPUR,02,01,2024,4,1130,999,02,,2000,10,MIST,9,,,,,,, 09.4, 08.1,990.8,1020.6,1020.4, 000.0
ADAMPUR,02,01,2024,1,1200,999,02,,2000,10,MIST,9,,,,,,, 09.6, 08.3,990.4,1020.0,1019.9,
ADAMPUR,02,01,2024,1,1230,999,02,,2000,10,MIST,9,,,,,,, 09.8, 08.1,989.9,1019.5,1019.4,
ADAMPUR,02,01,2024,1,1300,999,02,,2000,10,MIST,9,,,,,,, 11.2, 07.9,989.9,1019.4,1019.4,
ADAMPUR,02,01,2024,1,1330,999,02,,2000,10,MIST,9,,,,,,, 11.2, 07.9,989.6,1019.0,1019.0,
ADAMPUR,02,01,2024,1,1400,999,02,,2000,10,MIST,9,,,,,,, 10.2, 08.1,989.5,1019.0,1018.9,
ADAMPUR,02,01,2024,4,1430,999,01,,2000,10,MIST,9,,,,,,, 10.4, 08.8,989.1,1018.5,1018.6, 000.0
ADAMPUR,02,01,2024,1,1500,999,02,,1800,10,MIST,9,,,,,,, 10.2, 08.6,989.0,1018.5,1018.4,
ADAMPUR,02,01,2024,2,1510,999,02,,1500,10,MIST,9,,,,,,, 10.2, 08.8,989.0,1018.4,1018.5,
ADAMPUR,02,01,2024,1,1530,999,02,,1200,10,MIST,9,,,,,,, 10.2, 08.8,988.6,1018.1,1018.0,
ADAMPUR,02,01,2024,1,1600,999,02,,1000,10,MIST,9,,,,,,, 10.0, 08.8,988.5,1018.0,1017.9,
ADAMPUR,02,01,2024,1,1630,999,02,,0800,46,FOG,9,,,,,,, 09.8, 08.6,987.9,1017.5,1017.3,
ADAMPUR,02,01,2024,1,1700,999,02,,0800,44,FOG,9,,,,,,, 09.8, 09.0,988.0,1017.4,1017.6,
ADAMPUR,02,01,2024,4,1730,999,02,,0800,45,FOG,9,,,,,,, 09.8, 09.0,988.0,1017.6,1017.4, 000.0
ADAMPUR,02,01,2024,1,1800,999,02,,0800,45,FOG,9,,,,,,, 09.6, 08.8,988.2,1017.8,1017.6,
ADAMPUR,02,01,2024,1,1830,999,02,,0800,45,FOG,9,,,,,,, 09.6, 08.8,988.2,1017.8,1017.6,
ADAMPUR,02,01,2024,1,1900,999,02,,0800,41,FOG,9,,,,,,, 09.5, 08.9,988.8,1018.4,1018.2,
ADAMPUR,02,01,2024,1,1930,999,02,,0800,41,FOG,9,,,,,,, 09.4, 08.6,998.8,1018.4,1018.2,
ADAMPUR,02,01,2024,1,2000,999,01,,0800,41,FOG,9,,,,,,, 09.4, 08.6,988.5,1018.1,1017.9,
ADAMPUR,02,01,2024,4,2030,999,01,,0800,41,FOG,9,,,,,,, 09.2, 08.4,988.2,1017.8,1017.6, 000.0
ADAMPUR,02,01,2024,1,2100,999,01,,0800,41,FOG,9,,,,,,, 09.0, 08.1,988.2,1017.9,1017.6,
ADAMPUR,02,01,2024,1,2200,999,01,,0800,41,FOG,9,,,,,,, 09.0, 08.1,988.4,1018.0,1017.8,
ADAMPUR,02,01,2024,1,2300,999,02,,0800,41,FOG,9,,,,,,, 09.2, 08.4,988.8,1018.4,1018.2,
ADAMPUR,02,01,2024,4,2330,999,02,,0800,41,FOG,9,,,,,,, 08.8, 07.9,988.9,1018.6,1018.3, 000.0
ADAMPUR,03,01,2024,1,0000,999,01,,0800,41,FOG,9,,,,,,, 08.8, 07.9,989.0,1018.7,1018.4,
ADAMPUR,03,01,2024,1,0100,999,01,,0800,41,FOG,9,,,,,,, 08.4, 07.5,988.8,1018.5,1018.2,
ADAMPUR,03,01,2024,1,0200,999,02,,0800,41,FOG,9,,,,,,, 08.2, 07.3,988.6,1018.3,1018.0,
ADAMPUR,03,01,2024,4,0230,999,02,,0800,41,FOG,9,,,,,,, 08.4, 07.5,988.6,1018.3,1018.0, 000.0
ADAMPUR,03,01,2024,1,0300,999,02,,0800,47,FOG,9,,,,,,, 08.4, 07.5,988.7,1018.4,1018.1,
ADAMPUR,03,01,2024,1,0400,999,01,,0800,45,FOG,9,,,,,,, 08.2, 07.4,988.8,1018.5,1018.2,
ADAMPUR,03,01,2024,1,0500,999,01,,0800,45,FOG,9,,,,,,, 08.2, 07.4,988.9,1018.6,1018.2,
ADAMPUR,03,01,2024,4,0530,999,01,,0800,45,FOG,9,,,,,,, 08.0, 07.2,988.9,1018.6,1018.3, 000.0
ADAMPUR,03,01,2024,1,0600,999,01,,0800,45,FOG,9,,,,,,, 07.8, 07.0,988.8,1018.5,1018.2,
ADAMPUR,03,01,2024,1,0630,999,01,,0800,45,FOG,9,,,,,,, 07.6, 06.8,988.8,1018.6,1018.2,
ADAMPUR,03,01,2024,1,0700,999,01,,0800,41,FOG,9,,,,,,, 08.0, 07.1,988.6,1018.3,1018.0,
ADAMPUR,03,01,2024,1,0730,999,01,,0800,41,FOG,9,,,,,,, 08.4, 07.5,988.9,1018.6,1018.3,
