STN_NAME,DD,MONTH,YEAR,T,GGGG,DDD,FF,FMFM,VIS,WX_CODE,WEATHER,N,CL1,CL2,CL3,CL4,CL5,CL6,DB,DP,QFE,QFF,QNH,RRR
AFA,01,01,2024,1,0000,120,04,,6000,02,CLOUD UNCHANGED,1,1075,,,,,, 18.6, 17.0,947.0,1016.7,1018.8,
AFA,01,01,2024,1,0100,120,03,,6000,02,CLOUD UNCHANGED,1,1075,,,,,, 18.1, 17.1,946.6,1016.4,1018.4,
AFA,01,01,2024,1,0200,999,02,,6000,02,CLOUD UNCHANGED,1,1075,,,,,, 17.6, 17.1,946.0,1015.9,1017.7,
AFA,01,01,2024,4,0230,110,03,,5000,10,MIST,1,1075,,,,,, 17.5, 17.2,946.0,1015.9,1017.8, 000.0
AFA,01,01,2024,1,0300,110,03,,4000,10,MIST,1,1075,,,,,, 17.3, 17.1,945.9,1015.8,1017.6,
AFA,01,01,2024,1,0400,130,03,,3000,10,MIST,1,1075,,,,,, 17.1, 16.8,945.9,1015.9,1017.6,
AFA,01,01,2024,1,0500,999,02,,2000,10,MIST,1,1075,,,,,, 16.9, 16.9,946.4,1016.6,1018.2,
AFA,01,01,2024,4,0530,999,02,,2000,10,MIST,1,1075,,,,,, 16.8, 16.8,946.5,1016.7,1018.3, 000.0
AFA,01,01,2024,1,0600,999,02,,1500,10,MIST,1,1075,,,,,, 16.3, 16.3,946.8,1017.2,1018.6,
AFA,01,01,2024,1,0630,999,02,,0800,46,FOG,1,1075,,,,,, 16.7, 16.7,947.3,1017.5,1019.1,
AFA,01,01,2024,1,0700,999,01,,0800,44,FOG,1,1075,,,,,, 16.6, 16.6,947.5,1017.8,1019.3,
AFA,01,01,2024,1,0730,170,03,,0800,44,FOG,1,1075,,,,,, 16.9, 16.9,947.9,1018.1,1019.7,
AFA,01,01,2024,1,0800,180,03,,0800,44,FOG,3,1615,3075,,,,, 18.7, 18.0,948.3,1018.0,1020.2,
AFA,01,01,2024,4,0830,160,04,,1500,10,MIST,2,2075,,,,,, 20.4, 18.1,948.6,1017.9,1020.5, 000.0
AFA,01,01,2024,1,0900,160,07,,1800,10,MIST,2,2075,,,,,, 21.4, 17.5,948.8,1018.0,1020.8,
AFA,01,01,2024,1,0930,160,08,,2000,05,HAZE,2,2075,,,,,, 22.6, 16.8,948.9,1017.8,1020.8,
AFA,01,01,2024,1,1000,170,09,,2500,05,HAZE,2,2075,,,,,, 23.2, 16.4,948.9,1017.6,1020.8,
