STN_NAME,DD,MONTH,YEAR,T,GGGG,DDD,FF,FMFM,VIS,WX_CODE,WEATHER,N,CL1,CL2,CL3,CL4,CL5,CL6,DB,DP,QFE,QFF,QNH,RRR
GWALIOR,01,01,2024,1,0000,020,03,,0500,43,FOG,9,,,,,,, 11.8, 11.8,996.4,1019.0,1019.0,
GWALIOR,01,01,2024,1,0030,999,02,,0200,43,FOG,9,,,,,,, 11.6, 11.6,996.2,1018.8,1018.8,
GWALIOR,01,01,2024,1,0100,999,02,,0200,43,FOG,9,,,,,,, 11.6, 11.6,996.2,1018.8,1018.7,
GWALIOR,01,01,2024,1,0130,999,02,,0200,45,FOG,9,,,,,,, 11.8, 11.8,996.3,1018.9,1018.8,
GWALIOR,01,01,2024,1,0200,999,02,,0200,45,FOG,9,,,,,,, 11.7, 11.7,996.3,1018.9,1018.9,
GWALIOR,01,01,2024,4,0230,050,03,,0200,45,FOG,9,,,,,,, 11.8, 11.8,996.3,1018.9,1018.8, 000.0
GWALIOR,01,01,2024,1,0300,040,04,,0200,45,FOG,9,,,,,,, 12.1, 12.1,996.2,1018.9,1018.8,
GWALIOR,01,01,2024,1,0330,030,04,,0200,45,FOG,9,,,,,,, 11.9, 11.9,996.2,1018.9,1018.8,
GWALIOR,01,01,2024,1,0400,050,04,,0200,45,FOG,9,,,,,,, 12.0, 12.0,996.3,1018.9,1018.9,
GWALIOR,01,01,2024,1,0430,020,04,,0200,45,FOG,9,,,,,,, 12.0, 12.0,996.2,1018.9,1018.8,
GWALIOR,01,01,2024,1,0500,020,04,,0200,45,FOG,9,,,,,,, 12.0, 12.0,996.2,1018.9,1018.8,
GWALIOR,01,01,2024,4,0530,020,04,,0400,43,FOG,9,,,,,,, 12.0, 12.0,996.4,1019.0,1019.0, 000.0
GWALIOR,01,01,2024,1,0600,040,03,,0500,43,FOG,9,,,,,,, 11.9, 11.9,996.7,1019.4,1019.3,
GWALIOR,01,01,2024,1,0630,010,04,,0500,45,FOG,9,,,,,,, 11.8, 11.8,997.0,1019.7,1019.6,
GWALIOR,01,01,2024,1,0700,360,04,,0400,47,FOG,9,,,,,,, 11.8, 11.8,997.2,1019.9,1019.8,
GWALIOR,01,01,2024,1,0730,360,04,,0500,43,FOG,9,,,,,,, 11.8, 11.8,997.5,1020.2,1020.1,
GWALIOR,01,01,2024,1,0800,060,03,,0600,43,FOG,9,,,,,,, 11.7, 11.7,998.0,1020.7,1020.6,
GWALIOR,01,01,2024,4,0830,050,03,,0600,45,FOG,9,,,,,,, 11.7, 11.7,998.0,1020.8,1020.7, 000.0
GWALIOR,01,01,2024,1,0900,999,02,,0600,45,FOG,9,,,,,,, 11.7, 11.7,998.6,1021.4,1021.3,
GWALIOR,01,01,2024,1,0930,999,02,,0600,45,FOG,9,,,,,,, 11.8, 11.8,998.8,1021.5,1021.4,
GWALIOR,01,01,2024,1,1000,999,01,,0700,43,FOG,9,,,,,,, 11.9, 11.9,998.9,1021.7,1021.6,
GWALIOR,01,01,2024,1,1030,999,02,,0700,45,FOG,9,,,,,,, 12.0, 12.0,998.9,1021.6,1021.5,
GWALIOR,01,01,2024,1,1100,999,02,,0800,43,FOG,9,,,,,,, 12.4, 12.4,998.5,1021.2,1021.2,
GWALIOR,01,01,2024,4,1130,020,03,,0800,45,FOG,9,,,,,,, 12.4, 12.2,998.2,1020.8,1020.8, 000.0
GWALIOR,01,01,2024,1,1200,999,01,,0900,43,FOG,9,,,,,,, 12.7, 12.6,997.7,1020.4,1020.4,
GWALIOR,01,01,2024,1,1230,999,02,,0900,45,FOG,9,,,,,,, 12.5, 12.5,997.2,1019.8,1019.8,
GWALIOR,01,01,2024,1,1300,999,02,,0900,45,FOG,9,,,,,,, 12.6, 12.4,996.7,1019.3,1019.3,
GWALIOR,01,01,2024,1,1330,999,02,,0900,45,FOG,9,,,,,,, 13.0, 12.8,996.0,1018.6,1018.6,
GWALIOR,01,01,2024,1,1400,999,02,,0900,45,FOG,9,,,,,,, 13.1, 12.9,995.7,1018.3,1018.3,
GWALIOR,01,01,2024,4,1430,999,02,,0900,45,FOG,9,,,,,,, 13.1, 12.9,995.5,1018.1,1018.1, 000.0
GWALIOR,01,01,2024,1,1500,999,02,,0900,45,FOG,9,,,,,,, 13.0, 12.8,995.4,1017.9,1017.9,
GWALIOR,01,01,2024,1,1530,999,02,,0900,45,FOG,9,,,,,,, 13.1, 12.9,995.2,1017.8,1017.8,
GWALIOR,01,01,2024,1,1600,999,01,,0900,45,FOG,9,,,,,,, 13.2, 13.0,995.2,1017.8,1017.8,
GWALIOR,01,01,2024,1,1630,999,02,,0900,45,FOG,9,,,,,,, 12.9, 12.8,995.2,1017.7,1017.7,
GWALIOR,01,01,2024,1,1700,999,02,,0800,47,FOG,9,,,,,,, 12.7, 12.6,995.2,1017.8,1017.8,
GWALIOR,01,01,2024,4,1730,999,01,,0800,45,FOG,9,,,,,,, 12.5, 12.5,995.4,1018.0,1018.0, 000.0
GWALIOR,01,01,2024,1,1800,050,03,,0700,47,FOG,9,,,,,,, 12.4, 12.2,995.7,1018.3,1018.2,
GWALIOR,01,01,2024,1,1830,340,04,,0700,45,FOG,9,,,,,,, 12.2, 12.2,995.9,1018.5,1018.4,
GWALIOR,01,01,2024,1,1900,999,02,,0500,47,FOG,9,,,,,,, 12.1, 12.1,996.2,1018.9,1018.8,
GWALIOR,01,01,2024,1,1930,999,01,,0500,45,FOG,9,,,,,,, 12.0, 12.0,996.5,1019.1,1019.1,
GWALIOR,01,01,2024,1,2000,999,01,,0500,45,FOG,9,,,,,,, 11.8, 11.8,996.7,1019.4,1019.4,
GWALIOR,01,01,2024,4,2030,999,02,,0500,45,FOG,9,,,,,,, 11.6, 11.6,996.7,1019.5,1019.4, 000.0
GWALIOR,01,01,2024,1,2100,999,01,,0500,45,FOG,9,,,,,,, 11.7, 11.7,996.9,1019.5,1019.5,
GWALIOR,01,01,2024,1,2130,999,01,,0400,47,FOG,9,,,,,,, 11.7, 11.7,997.1,1019.8,1019.7,
GWALIOR,01,01,2024,1,2200,999,02,,0300,47,FOG,9,,,,,,, 11.5, 11.5,997.2,1019.9,1019.8,
